year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,111.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,279.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,410.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,467.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,477.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,480.0,COUNT
2011,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,770.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807.0,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850.0,DOLLARS(millions)
